"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.322767523446859","0.317929632885551","0.320685302962898","0.331367233895805","0.335548299009271","0.336649586951591","0.331425243193342","0.332485309178153","0.334964692785912","0.313130495544103","0.306880788039096","0.326623949388572","0.323328227381372","0.330025289847004","0.334792052413308","0.315616035382033","0.300172926992064","0.293682564465535","0.300092077216416","0.287993672351305","0.288854277873073","0.273815034766927","0.278500254643004","0.277891730394302","0.277531070534272","0.261811624315612","0.256858373815316","0.254394164505443","0.25088917807925","0.250208268903601","0.229393920169064","","",
"Afghanistan","AFG","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0521765400712275","0.0564908144400359","0.0435429530772354","0.0594246163143828","0.0656601014507623","0.0719340674891644","0.106351893262049","0.131327139389698","0.150150848241414","0.208539115294871","0.157836904363365","0.137663224596993","0.132291470723148","0.141304961364911","0.127703406947189","0.134152349586293","0.145136498904077","0.143064821848029","0.113536664548653","","",
"Africa Western and Central","AFW","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.168482710927443","0.189298233802113","0.203231170141985","0.194176129832329","0.17944496416832","0.192188115887097","0.212051761165665","0.203314233942927","0.189184564920565","0.18967745039382","0.195139766937638","0.195007902863978","0.167226300351192","0.169469357671444","0.158804322980837","0.152426873807806","0.13726760544621","0.126238256786385","0.125091044071257","0.113795921392316","0.119759026829672","0.118418002500086","0.115822128580086","0.119574310927263","0.118959949631248","0.114527631083932","0.11816116628053","0.114726181222977","0.116956601651689","0.119809118516631","0.116932102719965","","",
"Angola","AGO","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0957937554804466","0.0964472645257835","0.105539435525921","0.187134618148728","0.225071598720909","0.220334142972538","0.235592595885222","0.229749997983188","0.227782293659027","0.234157361719954","0.209039373513195","0.197528678666352","0.170878950657939","0.177289405424681","0.166357397943981","0.13101192038577","0.122998558298379","0.110540942154807","0.112965804765819","0.122866809237349","0.12691021095867","0.128376661696725","0.118284506527625","0.127294385043452","0.133383246407805","0.14123277615003","0.135224659868142","0.114982838140276","0.109881184472356","0.114148360408594","0.0983040225115215","","",
"Albania","ALB","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.382021107872155","0.360673617331408","0.211233752674659","0.178949494818215","0.165731460486027","0.136875403335391","0.12654536090992","0.106771661918176","0.119691535620874","0.175400654326271","0.175061200989478","0.164072487755602","0.182561031736838","0.190264609458646","0.188379037834365","0.169163160315278","0.159184692128714","0.156696307118523","0.14409011586456","0.144669735042656","0.15282190338263","0.159968823942074","0.139465682463264","0.145792149917717","0.154978163293438","0.140187662781843","0.129359096240544","0.147251518374678","0.139266793378758","0.128135250810404","0.116320196733326","","",
"Andorra","AND","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.287851973766426","0.281482562758058","0.291581941805122","0.305951661253633","0.315074432018879","0.316082206994384","0.312731774749899","0.31420529196054","0.300390655292831","0.298464256068943","0.292210590343761","0.302971278687179","0.311364317269582","0.305733320739853","0.297116999687812","0.301046927538563","0.299642107408323","0.298408098677841","0.305480983667337","0.314151233740469","0.318295718602664","0.314559128119778","0.318878519101584","0.316689684985733","0.319690637230161","0.314241584070629","0.305701189391735","0.303181361881063","0.292481409093752","0.290933523284252","0.291491683919025","","",
"United Arab Emirates","ARE","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.264879096356382","0.29284311024426","0.27479760134449","0.28918132088523","0.300968645039876","0.299587384581218","0.295831977633153","0.283578149595375","0.289726481124781","0.289079742380068","0.257884664083034","0.291749092080158","0.290531729404569","0.279620571931733","0.270415235066324","0.273006365981159","0.259458816520404","0.272693214238765","0.312793453408182","0.33216374373128","0.338935223601736","0.3266318869851","0.338213643911297","0.338929933403348","0.328329411946933","0.321909295371185","0.312735381305609","0.297341851551995","0.266398348805475","0.280757037164772","0.299287490284411","","",
"Argentina","ARG","CO2 emissions (kg per 2017 PPP $ of GDP)","EN.ATM.CO2E.PP.GD.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.217419985977511","0.210331752338215","0.198571383369315","0.187481848817796","0.179799836302657","0.186680666501794","0.192040591764089","0.182811563502025","0.185177974942691","0.194313586216498","0.192602167891304","0.190806262473065","0.200812172843633","0.200515650769305","0.203679891755792","0.193230355579671","0.189768156547923","0.182967587639155","0.180597805509867","0.179717804404328","0.174303688074363","0.173689246034461","0.176795655878045","0.177785206029457","0.178730114221626","0.179741547011037","0.181194544778398","0.172483424864319","0.174775069623417","0.169539349339147","0.172921733205305","","",
